osp_id,reviewer,category,manufacturer,year,test_id,building_code,test_criteria,weight_lbs,a_flx_h,a_rig_h,a_flx_v,a_rig_v,url,notes
OSP-0190,Eric Fagan,Chiller - Water Cooled,Trane,2011,UUT-2,,ASCE 7-05,21641,,,,,https://hcai.ca.gov/document/OSP-0190/,
OSP-0244,Eric Fagan,Chiller - Heat Exchangers,Ameridex,2012,UUT-1,CBC 2010,ICC-ES AC156,1520,2.5,1.0,1.68,0.68,https://hcai.ca.gov/document/OSP-0244/,
OSP-0244,Eric Fagan,Chiller - Heat Exchangers,Ameridex,2012,UUT-2,CBC 2010,ICC-ES AC156,125,3.2,2.4,1.34,0.54,https://hcai.ca.gov/document/OSP-0244/,
OSP-0135,Eric Fagan,Chiller - Air and Water Cooled,Carrier,2010,UUT-1,,ICC-ES AC156,4791,,,,,https://hcai.ca.gov/document/OSP-0135/,
OSP-0135,Eric Fagan,Chiller - Water Cooled,Carrier,2010,UUT-2,,ICC-ES AC156,16893,,,,,https://hcai.ca.gov/document/OSP-0135/,
OSP-0135,Eric Fagan,Chiller - Water Cooled,Carrier,2010,UUT-3,,ICC-ES AC156,20223,,,,,https://hcai.ca.gov/document/OSP-0135/,
OSP-0135,Eric Fagan,Chiller - Water Cooled,Carrier,2010,UUT-4,,ICC-ES AC156,25093,,,,,https://hcai.ca.gov/document/OSP-0135/,
OSP-0581,Eric Fagan,Chiller - Water Cooled,Trane,2020,UUT-1,CBC 2016,ICC-ES AC156,10900,3.2,2.4,1.51,0.61,https://hcai.ca.gov/document/OSP-0581/,
OSP-0581,Eric Fagan,Chiller - Water Cooled,Trane,2020,UUT-2,CBC 2016,ICC-ES AC156,19100,3.2,2.4,1.51,0.61,https://hcai.ca.gov/document/OSP-0581/,
OSP-0364,Eric Fagan,Chiller - Water Cooled,Tecogen,2013,UUT-1a,CBC 2013 ,2012 ICC-ES AC156,11750,3.2,2.4,1.33,0.53,https://hcai.ca.gov/document/OSP-0364/,
OSP-0364,Eric Fagan,Chiller - Water Cooled,Tecogen,2013,UUT-1b,CBC 2013 ,2012 ICC-ES AC156,11750,3.2,2.4,1.33,0.53,https://hcai.ca.gov/document/OSP-0364/,
OSP-0364,Eric Fagan,Chiller - Water Cooled,Tecogen,2013,UUT-2a,CBC 2013 ,2012 ICC-ES AC156,23650,3.2,2.4,1.33,0.53,https://hcai.ca.gov/document/OSP-0364/,
OSP-0364,Eric Fagan,Chiller - Water Cooled,Tecogen,2013,UUT-2b,CBC 2013 ,2012 ICC-ES AC156,23650,3.2,2.4,1.33,0.53,https://hcai.ca.gov/document/OSP-0364/,
OSP-0001,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2021,UUT D(a),CBC 2016,ICC-ES AC156,4199,3.74,2.81,1.56,0.62,https://hcai.ca.gov/document/OSP-0001,
OSP-0001,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2021,UUT D(b),CBC 2016,ICC-ES AC156,4199,3.1,2.33,1.29,0.52,https://hcai.ca.gov/document/OSP-0001,
OSP-0001,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2021,UUT F(a),CBC 2016,ICC-ES AC156,22173,3.2,2.4,1.33,0.53,https://hcai.ca.gov/document/OSP-0001,
OSP-0001,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2021,UUT F(b),CBC 2016,ICC-ES AC156,22173,3.2,2.4,1.33,0.53,https://hcai.ca.gov/document/OSP-0001,
OSP-0001,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2021,UUT G(a),CBC 2016,ICC-ES AC156,3400,3.2,2.4,1.33,0.53,https://hcai.ca.gov/document/OSP-0001,
OSP-0001,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2021,UUT G(b),CBC 2016,ICC-ES AC156,3400,3.2,2.4,1.33,0.53,https://hcai.ca.gov/document/OSP-0001,
OSP-0001,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2021,UUT H1(a),CBC 2016,ICC-ES AC156,3520,3.2,2.4,1.33,0.53,https://hcai.ca.gov/document/OSP-0001,
OSP-0001,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2021,UUT H1(b),CBC 2016,ICC-ES AC156,3520,3.2,2.4,1.33,0.53,https://hcai.ca.gov/document/OSP-0001,
OSP-0001,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2021,UUT H2(a),CBC 2016,ICC-ES AC156,3520,3.2,2.4,1.33,0.53,https://hcai.ca.gov/document/OSP-0001,
OSP-0001,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2021,UUT H2(b),CBC 2016,ICC-ES AC156,3520,3.2,2.4,1.33,0.53,https://hcai.ca.gov/document/OSP-0001,
OSP-0002,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2009,UUT A,,ICC-ES AC156,,1.4,0.9,,,http://hcai.ca.gov/document/OSP-0002,
OSP-0002,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2009,UUT B,,ICC-ES AC156,,1.4,0.9,,,http://hcai.ca.gov/document/OSP-0002,
OSP-0111,Eric Fagan,Cooling Tower,Evapco,2011,UUT-1,IBC 2009,ICC-ES AC156,11000,3.09,2.32,1.29,0.51,http://hcai.ca.gov/document/OSP-0111,
OSP-0111,Eric Fagan,Cooling Tower,Evapco,2011,UUT-2,IBC 2009,ICC-ES AC156,60000,3.09,2.32,1.29,0.51,http://hcai.ca.gov/document/OSP-0111,
OSP-0171,Eric Fagan,Cooling Tower,SPX Marley,2021,UUT-1a,CBC 2016,ICC-ES AC156,8362,2.0,0.8,1.34,0.54,https://hcai.ca.gov/document/OSP-0171,
OSP-0171,Eric Fagan,Cooling Tower,SPX Marley,2021,UUT-2a,CBC 2016,ICC-ES AC156,53156,2.0,0.8,1.34,0.54,https://hcai.ca.gov/document/OSP-0171,
OSP-0171,Eric Fagan,Cooling Tower,SPX Marley,2021,UUT-1b,CBC 2016,ICC-ES AC156,8362,3.2,2.4,1.34,0.54,https://hcai.ca.gov/document/OSP-0171,
OSP-0171,Eric Fagan,Cooling Tower,SPX Marley,2021,UUT-2b,CBC 2016,ICC-ES AC156,53156,3.2,2.4,1.34,0.54,https://hcai.ca.gov/document/OSP-0171,
OSP-0171,Eric Fagan,Cooling Tower,SPX Marley,2021,UUT-3A,CBC 2016,ICC-ES AC156,9000,2.0,0.8,1.34,0.54,https://hcai.ca.gov/document/OSP-0171,
OSP-0171,Eric Fagan,Cooling Tower,SPX Marley,2021,UUT-3B,CBC 2016,ICC-ES AC156,9000,3.2,2.4,1.34,0.54,https://hcai.ca.gov/document/OSP-0171,
OSP-0171,Eric Fagan,Cooling Tower,SPX Marley,2021,UUT-4a,CBC 2016,ICC-ES AC156,54880,2.0,0.8,1.34,0.54,https://hcai.ca.gov/document/OSP-0171,
OSP-0171,Eric Fagan,Cooling Tower,SPX Marley,2021,UUT-4b,CBC 2016,ICC-ES AC156,54880,3.2,2.4,1.34,0.54,https://hcai.ca.gov/document/OSP-0171,
OSP-0224,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2013,UUT A,CBC 2013,ICC-ES AC156,14881,3.5,2.62,1.45,0.58,http://hcai.ca.gov/document/OSP-0224,
OSP-0224,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2013,UUT B,CBC 2013,ICC-ES AC156,13684,3.5,2.63,2.33,1.75,http://hcai.ca.gov/document/OSP-0224,
OSP-0224,Eric Fagan,Cooling Tower,Baltimore Aircoil Company,2013,UUT C,CBC 2013,ICC-ES AC156,45731,3.1,2.33,1.29,0.52,http://hcai.ca.gov/document/OSP-0224,
